Bearing_I,ID_I,OD_I,T_I,C_I,Bearing_II,ID_II,OD_II,T_II,C_II,Fr_I,Fr_II,Fa_I,Fa_II,P_I,P_II,P0_I,P0_II
HR 32011 XJ,55,90,23.0,17.5,HR 32313 J,65,140,51.0,39.0,2828.4167088012246,9594.74339585649,0.0,3413.3666835204895,2828.4167088012246,9640.620720327428,2828.4167088012246,9594.74339585649
HR 32011 XJ,55,90,23.0,17.5,HR 32314 J,70,150,54.0,42.0,2852.4853101021254,9570.190455690808,0.0,3422.99412404085,2852.4853101021254,9647.166193145767,2852.4853101021254,9570.190455690808
HR 32011 XJ,55,90,23.0,17.5,HR 30315 J,75,160,40.0,31.0,2670.5149593157607,9756.046328308572,1161.31046881479,0.0,2810.1716869484894,9756.046328308572,2670.5149593157607,9756.046328308572
HR 32011 XJ,55,90,23.0,17.5,HR 32315 J,75,160,58.0,45.0,2857.818284035103,9564.751302263307,0.0,3425.1273136140408,2857.818284035103,9648.616954049192,2857.818284035103,9564.751302263307
HR 32011 XJ,55,90,23.0,17.5,HR 30316 J,80,170,42.5,33.0,2664.9827195900248,9761.705287895758,1163.3077486690913,0.0,2810.954710839647,9761.705287895758,2664.9827195900248,9761.705287895758
HR 32011 XJ,55,90,23.0,17.5,HR 32316 J,80,170,61.5,48.0,2871.1259725498185,9551.180429246475,0.0,3430.4503890199276,2871.1259725498185,9652.237833032466,2871.1259725498185,9551.180429246475
HR 33011 J,55,90,27.0,21.0,HR 32313 J,65,140,51.0,39.0,2796.529259998505,9625.998497182252,1115.4112342996186,0.0,3237.893049168678,9625.998497182252,2796.529259998505,9625.998497182252
HR 33011 J,55,90,27.0,21.0,HR 32314 J,70,150,54.0,42.0,2820.4078818187168,9601.642583076364,1106.8150293210697,0.0,3231.111708437519,9601.642583076364,2820.4078818187168,9601.642583076364
HR 33011 J,55,90,27.0,21.0,HR 30315 J,75,160,40.0,31.0,2639.9073380055515,9785.972111175539,1171.8725098266605,0.0,3282.5207038728754,9785.972111175539,2639.9073380055515,9785.972111175539
HR 33011 J,55,90,27.0,21.0,HR 32315 J,75,160,58.0,45.0,2825.698943950415,9596.24688620473,1104.9106657193165,0.0,3229.6098424468673,9596.24688620473,2825.698943950415,9596.24688620473
HR 33011 J,55,90,27.0,21.0,HR 30316 J,80,170,42.5,33.0,2634.420991154359,9791.58333371635,1173.8529413116526,0.0,3284.0889849538835,9791.58333371635,2634.420991154359,9791.58333371635
HR 33011 J,55,90,27.0,21.0,HR 32316 J,80,170,61.5,48.0,2838.902336494265,9582.784138047877,1100.1591075463093,0.0,3225.8632389356935,9582.784138047877,2838.902336494265,9582.784138047877
HR 33111 J,55,95,30.0,23.0,HR 32313 J,65,140,51.0,39.0,2806.019743912527,9616.695781358103,1112.127922832272,0.0,2901.812574096646,9616.695781358103,2806.019743912527,9616.695781358103
HR 33111 J,55,95,30.0,23.0,HR 32314 J,70,150,54.0,42.0,2829.9551017289637,9592.281038894851,1103.5109549040653,0.0,2897.5995685380904,9592.281038894851,2829.9551017289637,9592.281038894851
HR 33111 J,55,95,30.0,23.0,HR 30315 J,75,160,40.0,31.0,2649.0157014489287,9777.066211294494,1168.7292510451157,0.0,2929.573082251757,9777.066211294494,2649.0157014489287,9777.066211294494
HR 33111 J,55,95,30.0,23.0,HR 32315 J,75,160,58.0,45.0,2835.2586810035314,9586.872366191781,1101.6020115970996,0.0,2896.666690956772,9586.872366191781,2835.2586810035314,9586.872366191781
HR 33111 J,55,95,30.0,23.0,HR 33216 J,80,140,46.0,35.0,2676.4290935273475,9749.03563156028,1896.158127811549,0.0,4104.424641909418,9749.03563156028,3006.833699237837,9749.03563156028
HR 33111 J,55,95,30.0,23.0,HR 30316 J,80,170,42.5,33.0,2643.5156551054097,9782.691680921245,1170.7147109133807,0.0,2930.549799503573,9782.691680921245,2643.5156551054097,9782.691680921245
HR 33111 J,55,95,30.0,23.0,HR 32316 J,80,170,61.5,48.0,2848.4932227662043,9573.377331892525,1096.839058315009,0.0,2894.3397824104964,9573.377331892525,2848.4932227662043,9573.377331892525
HR 30211 J,55,100,22.75,18.0,HR 32313 J,65,140,51.0,39.0,2834.071926442358,9589.200759326714,0.0,3415.6287705769428,2834.071926442358,9642.249213711488,2834.071926442358,9589.200759326714
HR 30211 J,55,100,22.75,18.0,HR 32314 J,70,150,54.0,42.0,2858.1740272447796,9564.61306507203,0.0,3425.2696108979117,2858.1740272447796,9648.803564555263,2858.1740272447796,9564.61306507203
HR 30211 J,55,100,22.75,18.0,HR 30315 J,75,160,40.0,31.0,2675.944411745389,9750.738268487605,1159.4370359368017,0.0,2809.5333186033586,9750.738268487605,2675.944411745389,9750.738268487605
HR 30211 J,55,100,22.75,18.0,HR 32315 J,75,160,58.0,45.0,2863.514391093259,9559.166246697841,0.0,3427.4057564373034,2863.514391093259,9650.256284622552,2863.514391093259,9559.166246697841
HR 30211 J,55,100,22.75,18.0,HR 30316 J,80,170,42.5,33.0,2670.404073567685,9756.405654868593,1161.437289953621,0.0,2810.317564357506,9756.405654868593,2670.404073567685,9756.405654868593
HR 30211 J,55,100,22.75,18.0,HR 32316 J,80,170,61.5,48.0,2876.840468372351,9545.576303213767,0.0,3432.7361873489403,2876.840468372351,9653.882039778706,2876.840468372351,9545.576303213767
HR 32211 J,55,100,26.75,21.0,HR 32313 J,65,140,51.0,39.0,2824.39106589089,9598.688978397784,0.0,3411.756426356356,2824.39106589089,9639.461516164918,2824.39106589089,9598.688978397784
HR 32211 J,55,100,26.75,21.0,HR 32314 J,70,150,54.0,42.0,2848.4357852439452,9574.160812354177,0.0,3421.374314097578,2848.4357852439452,9646.000658907553,2848.4357852439452,9574.160812354177
HR 32211 J,55,100,26.75,21.0,HR 30315 J,75,160,40.0,31.0,2666.6502488102383,9759.824712333262,1162.6440161176215,0.0,2810.6261237005274,9759.824712333262,2666.6502488102383,9759.824712333262
HR 32211 J,55,100,26.75,21.0,HR 32315 J,75,160,58.0,45.0,2853.763490783067,9568.727122903354,0.0,3423.505396313227,2853.763490783067,9647.450022893827,2853.763490783067,9568.727122903354
HR 32211 J,55,100,26.75,21.0,HR 33216 J,80,140,46.0,35.0,2694.1947123299824,9731.657830046584,1888.710498591393,0.0,3910.7436328190824,9731.657830046584,2876.9528600240196,9731.657830046584
HR 32211 J,55,100,26.75,21.0,HR 30316 J,80,170,42.5,33.0,2661.1237813919506,9765.477666119727,1164.6391762775506,0.0,2811.4082769731062,9765.477666119727,2661.1237813919506,9765.477666119727
HR 32211 J,55,100,26.75,21.0,HR 32316 J,80,170,61.5,48.0,2867.058069500017,9555.169844463424,0.0,3428.823227800007,2867.058069500017,9651.067425045381,2867.058069500017,9555.169844463424
